set Units "mm"
Name	Material	Shape	t3	t2	tf	tw	Area	J	I33	I22	As2	As3	S33	S22	Z33	Z22	R33	R22	Cw
IPE450	S355	I	450	190	14.6	9.4	9880	667000	337400000	16760000	4230	4623.3	1499556	176421	1702000	276000	184.8	41.2	7.91E+11
IPE450O	S355	I	456	192	17.6	11	11800	1090000	409200000	20850000	5016	5632	1794737	217187.5	2046000	341000	186.2	42	9.976E+11
IPE450R	S355	I	458	188	18.6	11.3	12100	1230000	424000000	20700000	5175.4	5828	1851528	220212.8	2115000	346000	187.2	41.4	9.942E+11
IPE450V	S355	I	460	194	19.6	12.4	13200	1490000	462000000	23970000	5704	6337.3	2008696	247113.4	2301000	389000	187.1	42.6	1.156E+12
IPE500	S355	I	500	200	16	10.2	11600	891000	482000000	21420000	5100	5333.3	1928000	214200	2194000	336000	203.8	43	1.249E+12
IPE500O	S355	I	506	202	19	12	13700	1430000	577800000	26220000	6072	6396.7	2283795	259604	2613000	409000	205.4	43.7	1.548E+12
IPE500R	S355	I	508	198	20	12.6	14200	1620000	599300000	26000000	6400.8	6600	2359449	262626.3	2709000	415000	205.4	42.8	1.54E+12
IPE500V	S355	I	514	204	23	14.2	16400	2420000	707200000	32710000	7298.8	7820	2751751	320686.3	3168000	507000	207.7	44.7	1.961E+12
IPE550	S355	I	550	210	17.2	11.1	13400	1230000	671200000	26680000	6105	6020	2440727	254095.2	2787000	401000	223.8	44.6	1.884E+12
IPE550O	S355	I	556	212	20.2	12.7	15600	1870000	791600000	32240000	7061.2	7137.3	2847482	304150.9	3263000	481000	225.3	45.5	2.302E+12
IPE550R	S355	I	560	210	22.2	14	17000	2420000	866000000	34470000	7840	7770	3092857	328285.7	3562000	521000	225.7	45	2.478E+12
IPE550V	S355	I	566	216	25.2	17.1	20200	3720000	1023000000	42650000	9678.6	9072	3614841	394907.4	4205000	632000	225	45.9	3.095E+12
IPE600	S355	I	600	220	19	12	15600	1650000	920800000	33870000	7200	6966.7	3069333	307909.1	3512000	486000	243	46.6	2.846E+12
IPE600O	S355	I	610	224	24	15	19700	3160000	1183000000	45210000	9150	8960	3878689	403660.7	4471000	640000	245.1	47.9	3.86E+12
IPE600R	S355	I	608	218	23	14	18400	2710000	1103000000	39930000	8512	8356.7	3628290	366330.3	4175000	580000	244.8	46.6	3.398E+12
IPE600V	S355	I	618	228	28	18	23400	5060000	1416000000	55700000	11124	10640	4582525	488596.5	5324000	780000	246	48.8	4.813E+12
IPE750X137	S355	I	753	263	17	11.5	17500	1350000	1599000000	51660000	8659.5	7451.7	4247012	392851.7	4865000	614000	302.3	54.3	6.98E+12
IPE750X147	S355	I	753	265	17	13.2	18700	1570000	1661000000	52890000	9939.6	7508.3	4411687	399169.8	5110000	631000	298	53.2	7.141E+12
IPE750X161	S355	I	758	266	19.3	13.8	20400	2080000	1861000000	60730000	10460.4	8556.3	4910290	456616.5	5666000	720000	302	54.6	8.259E+12
IPE750X173	S355	I	762	267	21.6	14.4	22100	2700000	2058000000	68730000	10972.8	9612	5401575	514831.5	6218000	810000	305.2	55.8	9.391E+12
IPE750X185	S355	I	766	267	23.6	14.9	23600	3340000	2230000000	75100000	11413.4	10502	5822455	562546.8	6691000	884000	307.4	56.4	1.032E+13
IPE750X196	S355	I	770	268	25.4	15.6	25100	4060000	2403000000	81750000	12012	11345.3	6241559	610074.6	7174000	959000	309.4	57.1	1.129E+13
IPE750X210	S355	I	775	268	28	16	26800	5120000	2622000000	90110000	12400	12506.7	6766452	672462.7	7762000	1054000	312.8	58	1.253E+13
IPE750X222	S355	I	778	269	29.5	17	28300	6010000	2782000000	96040000	13226	13225.8	7151672	714052.1	8225000	1122000	313.5	58.3	1.34E+13
